,img1,img2,class_
2596,205_298_08112019_0.jpg,207_495_08112019_0.jpg,0
2478,203_572_08112019_0.jpg,205_281_08112019_0.jpg,0
60,165_428_08112019_0.jpg,169_1149_08112019_0.jpg,0
2911,209_526_08112019_0.jpg,180_270_08112019_0.jpg,0
2629,207_495_08112019_0.jpg,183_518_08112019_0.jpg,0
3246,212_963_08112019_0.jpg,3_12_10072019_4.jpg,0
1840,190_841_08112019_0.jpg,205_281_08112019_0.jpg,0
3296,212_969_08112019_0.jpg,207_526_08112019_0.jpg,0
994,183_500_11112019_18.jpg,175_333_08112019_0.jpg,0
2374,203_547_08112019_0.jpg,212_963_08112019_0.jpg,0
663,180_270_08112019_0.jpg,185_1151_08112019_0.jpg,0
1108,183_518_08112019_0.jpg,173_949_08112019_0.jpg,0
3093,210_890_08112019_0.jpg,183_518_08112019_0.jpg,0
1299,184_345_08112019_0.jpg,185_1003_11112019_17.jpg,0
305,173_938_08112019_0.jpg,181_963_08112019_0.jpg,0
638,180_270_08112019_0.jpg,165_417_08112019_0.jpg,0
1310,184_345_08112019_0.jpg,193_859_08112019_0.jpg,0
998,183_500_11112019_18.jpg,180_283_08112019_0.jpg,0
1240,183_540_08112019_0.jpg,184_349_08112019_0.jpg,0
2138,194_1240_08112019_0.jpg,210_858_08112019_0.jpg,0
1094,183_503_11112019_18.jpg,210_858_08112019_0.jpg,0
935,181_963_08112019_0.jpg,173_965_08112019_0.jpg,0
2426,203_555_08112019_0.jpg,209_509_08112019_0.jpg,0
2311,195_1156_08112019_0.jpg,209_526_08112019_0.jpg,0
3384,3_1_10072019_4.jpg,183_529_08112019_0.jpg,0
1879,190_852_08112019_0.jpg,184_349_08112019_0.jpg,0
3364,3_1_10072019_4.jpg,165_417_08112019_0.jpg,0
1430,185_1003_11112019_17.jpg,195_1156_08112019_0.jpg,0
2720,207_505_08112019_0.jpg,210_890_08112019_0.jpg,0
384,173_949_08112019_0.jpg,194_1243_08112019_0.jpg,0
1302,184_345_08112019_0.jpg,186_561_08112019_0.jpg,0
117,169_1144_08112019_0.jpg,165_428_08112019_0.jpg,0
722,180_283_08112019_0.jpg,186_561_08112019_0.jpg,0
153,169_1144_08112019_0.jpg,195_1145_08112019_0.jpg,0
1919,193_843_08112019_0.jpg,173_938_08112019_0.jpg,0
1478,185_1144_08112019_0.jpg,189_891_08112019_0.jpg,0
2738,207_508_08112019_0.jpg,180_283_08112019_0.jpg,0
318,173_938_08112019_0.jpg,189_891_08112019_0.jpg,0
1752,189_901_08112019_0.jpg,180_283_08112019_0.jpg,0
1391,184_349_08112019_0.jpg,3_1_10072019_4.jpg,0
1635,186_570_08112019_0.jpg,180_270_08112019_0.jpg,0
2608,205_298_08112019_0.jpg,3_12_10072019_4.jpg,0
1722,189_891_08112019_0.jpg,203_555_08112019_0.jpg,0
1820,190_841_08112019_0.jpg,184_345_08112019_0.jpg,0
3083,210_890_08112019_0.jpg,175_340_08112019_0.jpg,0
760,180_815_11112019_18.jpg,173_949_08112019_0.jpg,0
2332,203_547_08112019_0.jpg,180_283_08112019_0.jpg,0
3057,210_878_08112019_0.jpg,203_555_08112019_0.jpg,0
1476,185_1144_08112019_0.jpg,186_561_08112019_0.jpg,0
2416,203_555_08112019_0.jpg,195_1145_08112019_0.jpg,0
1888,190_852_08112019_0.jpg,193_843_08112019_0.jpg,0
1444,185_1003_11112019_17.jpg,210_890_08112019_0.jpg,0
1084,183_503_11112019_18.jpg,203_555_08112019_0.jpg,0
48,165_417_08112019_0.jpg,209_509_08112019_0.jpg,0
751,180_283_08112019_0.jpg,212_969_08112019_0.jpg,0
1953,193_843_08112019_0.jpg,203_547_08112019_0.jpg,0
2693,207_505_08112019_0.jpg,185_1144_08112019_0.jpg,0
2275,195_1156_08112019_0.jpg,180_815_11112019_18.jpg,0
18,165_417_08112019_0.jpg,183_518_08112019_0.jpg,0
1206,183_529_08112019_0.jpg,207_508_08112019_0.jpg,0
517,175_333_08112019_0.jpg,212_950_08112019_0.jpg,0
1107,183_518_08112019_0.jpg,173_938_08112019_0.jpg,0
1304,184_345_08112019_0.jpg,189_891_08112019_0.jpg,0
1801,190_841_08112019_0.jpg,169_1149_08112019_0.jpg,0
2051,193_859_08112019_0.jpg,183_540_08112019_0.jpg,0
2030,193_859_08112019_0.jpg,165_417_08112019_0.jpg,0
630,180_263_08112019_0.jpg,210_858_08112019_0.jpg,0
2987,210_858_08112019_0.jpg,189_891_08112019_0.jpg,0
1579,186_561_08112019_0.jpg,180_815_11112019_18.jpg,0
2443,203_572_08112019_0.jpg,173_965_08112019_0.jpg,0
1694,189_891_08112019_0.jpg,180_283_08112019_0.jpg,0
2295,195_1156_08112019_0.jpg,193_843_08112019_0.jpg,0
2059,193_859_08112019_0.jpg,189_891_08112019_0.jpg,0
1305,184_345_08112019_0.jpg,189_901_08112019_0.jpg,0
3001,210_858_08112019_0.jpg,205_281_08112019_0.jpg,0
949,181_963_08112019_0.jpg,184_345_08112019_0.jpg,0
1779,189_901_08112019_0.jpg,203_547_08112019_0.jpg,0
276,169_1160_08112019_0.jpg,207_495_08112019_0.jpg,0
3145,212_950_08112019_0.jpg,180_815_11112019_18.jpg,0
3051,210_878_08112019_0.jpg,193_859_08112019_0.jpg,0
1718,189_891_08112019_0.jpg,194_1243_08112019_0.jpg,0
2101,194_1240_08112019_0.jpg,180_815_11112019_18.jpg,0
671,180_270_08112019_0.jpg,193_844_08112019_0.jpg,0
606,180_263_08112019_0.jpg,186_561_08112019_0.jpg,0
1616,186_561_08112019_0.jpg,210_858_08112019_0.jpg,0
1109,183_518_08112019_0.jpg,173_965_08112019_0.jpg,0
1377,184_349_08112019_0.jpg,205_298_08112019_0.jpg,0
2952,209_526_08112019_0.jpg,210_890_08112019_0.jpg,0
2530,205_281_08112019_0.jpg,194_1240_08112019_0.jpg,0
681,180_270_08112019_0.jpg,205_298_08112019_0.jpg,0
1043,183_500_11112019_18.jpg,3_1_10072019_4.jpg,0
2098,194_1240_08112019_0.jpg,180_263_08112019_0.jpg,0
401,173_949_08112019_0.jpg,212_950_08112019_0.jpg,0
2826,207_526_08112019_0.jpg,203_572_08112019_0.jpg,0
1250,183_540_08112019_0.jpg,193_843_08112019_0.jpg,0
3389,3_1_10072019_4.jpg,185_1144_08112019_0.jpg,0
1030,183_500_11112019_18.jpg,207_495_08112019_0.jpg,0
1365,184_349_08112019_0.jpg,190_852_08112019_0.jpg,0
2001,193_844_08112019_0.jpg,189_891_08112019_0.jpg,0
2247,195_1145_08112019_0.jpg,205_298_08112019_0.jpg,0
2365,203_547_08112019_0.jpg,207_505_08112019_0.jpg,0
155,169_1144_08112019_0.jpg,203_547_08112019_0.jpg,0
1937,193_843_08112019_0.jpg,184_349_08112019_0.jpg,0
1588,186_561_08112019_0.jpg,184_345_08112019_0.jpg,0
106,165_428_08112019_0.jpg,209_509_08112019_0.jpg,0
2341,203_547_08112019_0.jpg,183_540_08112019_0.jpg,0
1445,185_1003_11112019_17.jpg,212_950_08112019_0.jpg,0
3247,212_963_08112019_0.jpg,3_1_10072019_4.jpg,0
2012,193_844_08112019_0.jpg,203_555_08112019_0.jpg,0
695,180_270_08112019_0.jpg,3_1_10072019_4.jpg,0
2580,205_298_08112019_0.jpg,186_570_08112019_0.jpg,0
805,180_815_11112019_18.jpg,210_878_08112019_0.jpg,0
1789,189_901_08112019_0.jpg,209_526_08112019_0.jpg,0
2384,203_555_08112019_0.jpg,173_949_08112019_0.jpg,0
